,db_id,original_sql
1,tpch,"SELECT ro.o_orderkey, ro.o_orderdate, ro.o_totalprice, sp.p_name, sp.supplier_info, co.c_name AS customer_name, co.total_orders, co.total_spent FROM (SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, o.o_orderpriority, RANK() OVER (PARTITION BY o.o_orderpriority ORDER BY o.o_totalprice DESC) AS priority_rank FROM orders o WHERE o.o_orderdate BETWEEN DATE '1996-01-01' AND DATE '1996-12-31') ro LEFT JOIN lineitem l ON ro.o_orderkey = l.l_orderkey LEFT JOIN (SELECT ps.ps_partkey, ps.ps_suppkey, p.p_name, p.p_mfgr, p.p_retailprice, ps.ps_availqty, ps.ps_supplycost, CONCAT(s.s_name, ' (', s.s_phone, ')') AS supplier_info FROM partsupp ps JOIN part p ON ps.ps_partkey = p.p_partkey JOIN supplier s ON ps.ps_suppkey = s.s_suppkey WHERE ps.ps_availqty > 0) sp ON l.l_partkey = sp.ps_partkey LEFT JOIN (SELECT c.c_custkey, c.c_name, COUNT(o.o_orderkey) AS total_orders, SUM(o.o_totalprice) AS total_spent FROM customer c LEFT JOIN orders o ON c.c_custkey = o.o_custkey GROUP BY c.c_custkey, c.c_name) co ON ro.o_orderkey IN (SELECT o.o_orderkey FROM orders o WHERE o.o_custkey = co.c_custkey) WHERE (sp.ps_supplycost IS NOT NULL OR sp.ps_availqty < 10) AND ro.priority_rank <= 3 ORDER BY ro.o_orderdate DESC, co.total_orders DESC;"
2,tpch,"SELECT p.p_partkey, p.p_name, COALESCE(ts.total_sales, 0) AS total_sales, rs.s_name, rs.ranking, CASE WHEN rs.ranking <= 5 THEN 'Top Supplier' ELSE 'Other Supplier' END AS supplier_tier FROM part p LEFT JOIN partsupp ps ON p.p_partkey = ps.ps_partkey LEFT JOIN (SELECT s.s_suppkey, s.s_name, s.s_nationkey, s.s_acctbal, ROW_NUMBER() OVER (PARTITION BY n.n_name ORDER BY s.s_acctbal DESC) AS ranking FROM supplier s JOIN nation n ON s.s_nationkey = n.n_nationkey) rs ON ps.ps_suppkey = rs.s_suppkey LEFT JOIN (SELECT l.l_suppkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales FROM lineitem l JOIN orders o ON l.l_orderkey = o.o_orderkey WHERE o.o_orderdate >= '1997-01-01' AND o.o_orderdate < '1998-01-01' GROUP BY l.l_suppkey) ts ON rs.s_suppkey = ts.l_suppkey WHERE p.p_retailprice > (SELECT AVG(p_retailprice) FROM part) AND (ts.total_sales IS NULL OR ts.total_sales > 10000) ORDER BY total_sales DESC, p.p_partkey;"
3,tpch,"SELECT jd.p_partkey, jd.p_name, jd.s_name, jd.total_sales, jd.total_customers, jd.total_balance, jd.r_name FROM (SELECT p.p_partkey, p.p_name, s.s_name, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales, cs.total_customers, cs.total_balance, r.r_name FROM part p JOIN lineitem l ON p.p_partkey = l.l_partkey JOIN supplier s ON l.l_suppkey = s.s_suppkey LEFT JOIN (SELECT c.c_nationkey, COUNT(DISTINCT c.c_custkey) AS total_customers, SUM(c.c_acctbal) AS total_balance FROM customer c GROUP BY c.c_nationkey) cs ON s.s_nationkey = cs.c_nationkey LEFT JOIN region r ON s.s_nationkey = r.r_regionkey GROUP BY p.p_partkey, p.p_name, s.s_name, cs.total_customers, cs.total_balance, r.r_name) jd WHERE jd.total_sales > (SELECT AVG(total_sales) FROM (SELECT p.p_partkey, p.p_name, s.s_name, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales, cs.total_customers, cs.total_balance, r.r_name FROM part p JOIN lineitem l ON p.p_partkey = l.l_partkey JOIN supplier s ON l.l_suppkey = s.s_suppkey LEFT JOIN (SELECT c.c_nationkey, COUNT(DISTINCT c.c_custkey) AS total_customers, SUM(c.c_acctbal) AS total_balance FROM customer c GROUP BY c.c_nationkey) cs ON s.s_nationkey = cs.c_nationkey LEFT JOIN region r ON s.s_nationkey = r.r_regionkey GROUP BY p.p_partkey, p.p_name, s.s_name, cs.total_customers, cs.total_balance, r.r_name) as JoinedData) AND jd.total_customers IS NOT NULL ORDER BY jd.total_sales DESC LIMIT 10;"
4,tpch,"SELECT t.s_suppkey, t.s_name, COALESCE(t.total_sales, 0) AS total_sales, COALESCE(t.order_count, 0) AS order_count, COALESCE(t.avg_quantity, 0) AS avg_quantity, COUNT(DISTINCT c.c_custkey) AS unique_customers FROM (SELECT s.s_suppkey, s.s_name, s.total_sales, s.order_count, s.avg_quantity FROM (SELECT s.s_suppkey, s.s_name, s.total_sales, s.order_count, s.avg_quantity, RANK() OVER (ORDER BY s.total_sales DESC) AS sales_rank FROM (SELECT s.s_suppkey, s.s_name, SUM(ls.l_extendedprice * (1 - ls.l_discount)) AS total_sales, COUNT(DISTINCT o.o_orderkey) AS order_count, AVG(ls.l_quantity) AS avg_quantity FROM supplier s LEFT JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey LEFT JOIN lineitem ls ON ps.ps_partkey = ls.l_partkey LEFT JOIN orders o ON ls.l_orderkey = o.o_orderkey GROUP BY s.s_suppkey, s.s_name) s) s WHERE s.sales_rank <= 10) t LEFT JOIN lineitem l ON l.l_partkey IN ( SELECT ps.ps_partkey FROM partsupp ps WHERE ps.ps_suppkey = t.s_suppkey ) LEFT JOIN orders o ON l.l_orderkey = o.o_orderkey LEFT JOIN customer c ON o.o_custkey = c.c_custkey GROUP BY t.s_suppkey, t.s_name, t.total_sales, t.order_count, t.avg_quantity ORDER BY t.total_sales DESC;"
5,tpch,"SELECT p.p_partkey, p.p_name, p.p_retailprice, s.s_name AS supplier_name, COALESCE(ps.ps_availqty, 0) AS available_quantity, COALESCE(TC.order_count, 0) AS number_of_orders, COALESCE(TC.total_spent, 0) AS total_spent_by_customer FROM part p LEFT JOIN partsupp ps ON p.p_partkey = ps.ps_partkey LEFT JOIN supplier s ON ps.ps_suppkey = s.s_suppkey LEFT JOIN (SELECT *, RANK() OVER (ORDER BY total_spent DESC) AS spending_rank FROM (SELECT c.c_custkey, c.c_name, COUNT(o.o_orderkey) AS order_count, SUM(o.o_totalprice) AS total_spent, MAX(o.o_orderdate) AS last_order_date FROM customer c LEFT JOIN orders o ON c.c_custkey = o.o_custkey GROUP BY c.c_custkey, c.c_name) as CustomerOrders) TC ON TC.c_custkey = s.s_nationkey WHERE (p.p_size > 10 AND s.s_acctbal > 1000) OR (p.p_type LIKE '%metal%' AND ps.ps_supplycost < (SELECT AVG(ps_supplycost) FROM partsupp)) ORDER BY p.p_partkey, spending_rank ASC NULLS LAST;"
6,tpch,"SELECT r.r_name, SUM(CASE WHEN o.order_rank = 1 THEN o.o_totalprice ELSE 0 END) AS highest_total_price, AVG(COALESCE(ss.total_supply_cost, 0)) AS average_supply_cost, pd.size_category, COUNT(DISTINCT o.o_orderkey) AS total_orders FROM (SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, ROW_NUMBER() OVER (PARTITION BY c.c_mktsegment ORDER BY o.o_totalprice DESC) AS order_rank FROM orders o JOIN customer c ON o.o_custkey = c.c_custkey WHERE o.o_orderstatus = 'F' AND o.o_orderdate >= '1997-01-01' AND o.o_orderdate < '1998-01-01') o LEFT JOIN nation n ON o.o_orderkey % 5 = n.n_nationkey LEFT JOIN region r ON n.n_regionkey = r.r_regionkey LEFT JOIN (SELECT s.s_suppkey, SUM(ps.ps_supplycost * ps.ps_availqty) AS total_supply_cost, COUNT(DISTINCT ps.ps_partkey) AS parts_supplied FROM supplier s JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey GROUP BY s.s_suppkey) ss ON ss.parts_supplied > 10 LEFT JOIN (SELECT p.p_partkey, p.p_retailprice, CASE WHEN p.p_size < 20 THEN 'Small' WHEN p.p_size BETWEEN 20 AND 50 THEN 'Medium' ELSE 'Large' END AS size_category FROM part p WHERE p.p_retailprice < 100.00) pd ON pd.p_partkey = o.o_orderkey % 100 WHERE r.r_name IS NOT NULL GROUP BY r.r_name, pd.size_category ORDER BY highest_total_price DESC, average_supply_cost DESC;"
7,tpch,"SELECT p.p_partkey, p.p_name, COALESCE(ss.total_sales_supp, 0) AS supplier_total_sales, COUNT(DISTINCT ss.s_suppkey) AS unique_suppliers, RANK() OVER (ORDER BY COALESCE(ss.total_sales_supp, 0) DESC) AS sales_rank FROM part p LEFT JOIN (SELECT rs.s_suppkey, rs.s_name, SUM(ald.total_sales) AS total_sales_supp FROM (SELECT s.s_suppkey, s.s_name, s.s_acctbal, RANK() OVER (PARTITION BY ps.ps_partkey ORDER BY s.s_acctbal DESC) AS rank FROM supplier s JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey) rs LEFT JOIN (SELECT o.o_orderkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_sales, COUNT(o.o_orderkey) AS order_count, AVG(l.l_quantity) AS avg_quantity FROM orders o JOIN lineitem l ON o.o_orderkey = l.l_orderkey WHERE o.o_orderdate >= DATE '1996-01-01' AND o.o_orderdate < DATE '1997-01-01' GROUP BY o.o_orderkey) ald ON rs.s_suppkey = ald.o_orderkey GROUP BY rs.s_suppkey, rs.s_name HAVING SUM(ald.total_sales) IS NOT NULL) ss ON p.p_partkey = ss.s_suppkey WHERE p.p_retailprice > (SELECT AVG(p_retailprice) FROM part) AND p.p_size BETWEEN 10 AND 50 GROUP BY p.p_partkey, p.p_name, ss.total_sales_supp ORDER BY sales_rank;"
8,tpch,"SELECT m.n_name AS nation, m.nation_revenue AS total_revenue, CASE WHEN m.revenue_rank <= 5 THEN 'Top 5' ELSE 'Other' END AS revenue_category FROM (SELECT n.n_name, nr.nation_revenue, RANK() OVER (ORDER BY nr.nation_revenue DESC) AS revenue_rank FROM (SELECT n.n_nationkey, SUM(so.total_revenue) AS nation_revenue FROM nation n LEFT JOIN supplier s ON n.n_nationkey = s.s_nationkey LEFT JOIN (SELECT s.s_suppkey, s.s_name, SUM(l.l_extendedprice * (1 - l.l_discount)) AS total_revenue, COUNT(DISTINCT o.o_orderkey) AS order_count FROM supplier s JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey JOIN lineitem l ON ps.ps_partkey = l.l_partkey JOIN orders o ON l.l_orderkey = o.o_orderkey WHERE o.o_orderdate >= '1996-01-01' AND o.o_orderdate < '1997-01-01' GROUP BY s.s_suppkey, s.s_name) so ON s.s_suppkey = so.s_suppkey GROUP BY n.n_nationkey) nr JOIN nation n ON nr.n_nationkey = n.n_nationkey) m WHERE (m.nation_revenue IS NOT NULL AND m.nation_revenue > 0) ORDER BY m.revenue_rank;"
9,tpch,"SELECT os.o_orderkey, os.total_parts, os.total_revenue, s.s_name, s.avg_supplycost FROM (SELECT r.o_orderkey, COUNT(DISTINCT l.l_partkey) AS total_parts, SUM(COALESCE(fl.net_revenue, 0)) AS total_revenue FROM (SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, o.o_orderstatus, o.o_shippriority, ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_rank FROM orders o WHERE o.o_orderdate >= DATE '1997-01-01' AND o.o_orderdate < DATE '1998-01-01') r LEFT JOIN (SELECT l.l_orderkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS net_revenue FROM lineitem l WHERE l.l_returnflag = 'N' AND l.l_shipdate BETWEEN DATE '1997-01-01' AND DATE '1997-12-31' GROUP BY l.l_orderkey) fl ON r.o_orderkey = fl.l_orderkey LEFT JOIN lineitem l ON r.o_orderkey = l.l_orderkey WHERE r.order_rank <= 10 GROUP BY r.o_orderkey) os LEFT JOIN (SELECT s.s_suppkey, s.s_name, AVG(ps.ps_supplycost) AS avg_supplycost FROM supplier s JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey GROUP BY s.s_suppkey, s.s_name HAVING AVG(ps.ps_supplycost) < 100.00) s ON os.total_parts = s.s_suppkey WHERE os.total_revenue > (SELECT AVG(total_revenue) FROM (SELECT r.o_orderkey, COUNT(DISTINCT l.l_partkey) AS total_parts, SUM(COALESCE(fl.net_revenue, 0)) AS total_revenue FROM (SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, o.o_orderstatus, o.o_shippriority, ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_rank FROM orders o WHERE o.o_orderdate >= DATE '1997-01-01' AND o.o_orderdate < DATE '1998-01-01') r LEFT JOIN (SELECT l.l_orderkey, SUM(l.l_extendedprice * (1 - l.l_discount)) AS net_revenue FROM lineitem l WHERE l.l_returnflag = 'N' AND l.l_shipdate BETWEEN DATE '1997-01-01' AND DATE '1997-12-31' GROUP BY l.l_orderkey) fl ON r.o_orderkey = fl.l_orderkey LEFT JOIN lineitem l ON r.o_orderkey = l.l_orderkey WHERE r.order_rank <= 10 GROUP BY r.o_orderkey) as OrderSummary) ORDER BY os.total_revenue DESC, os.o_orderkey ASC;"
10,tpch,"SELECT rs.o_orderkey AS order_key, rs.o_totalprice AS order_price, ss.s_name AS supplier_name, cs.c_mktsegment AS market_segment, ds.p_name AS part_name, SUM(ds.net_price) AS total_net_price, COUNT(DISTINCT rs.o_orderkey) AS unique_order_count, COALESCE(AVG(ss.total_supply_cost), 0) AS avg_supply_cost FROM (SELECT o.o_orderkey, o.o_orderdate, o.o_totalprice, ROW_NUMBER() OVER (PARTITION BY o.o_orderstatus ORDER BY o.o_totalprice DESC) AS order_rank FROM orders o WHERE o.o_orderdate >= DATE '1997-01-01' AND o.o_orderdate < DATE '1997-12-31') rs LEFT JOIN (SELECT s.s_suppkey, s.s_name, COUNT(DISTINCT ps.ps_partkey) AS total_parts_supplied, SUM(ps.ps_supplycost) AS total_supply_cost, AVG(s.s_acctbal) AS avg_account_balance FROM supplier s JOIN partsupp ps ON s.s_suppkey = ps.ps_suppkey GROUP BY s.s_suppkey, s.s_name) ss ON ss.total_parts_supplied > 5 LEFT JOIN (SELECT c.c_mktsegment, COUNT(c.c_custkey) AS num_customers, SUM(o.o_totalprice) AS total_orders_value FROM customer c LEFT JOIN orders o ON c.c_custkey = o.o_custkey GROUP BY c.c_mktsegment) cs ON cs.num_customers > 100 LEFT JOIN (SELECT lo.l_orderkey, p.p_name, lo.l_extendedprice * (1 - lo.l_discount) AS net_price FROM lineitem lo JOIN part p ON lo.l_partkey = p.p_partkey WHERE lo.l_shipdate BETWEEN DATE '1997-06-01' AND DATE '1997-06-30') ds ON rs.o_orderkey = ds.l_orderkey WHERE rs.order_rank <= 10 GROUP BY rs.o_orderkey, rs.o_totalprice, ss.s_name, cs.c_mktsegment, ds.p_name ORDER BY total_net_price DESC LIMIT 50;"
